City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Goderich,CA,2021-12-22 01:45:52,43.7501,-81.7165,38.91,75,67,20.71
276,Kruisfontein,ZA,2021-12-22 01:45:52,-34.0033,24.7314,63.88,97,100,5.14
277,Benguela,AO,2021-12-22 01:45:52,-12.5763,13.4055,73.35,83,63,3.11
278,Rawson,AR,2021-12-22 01:45:52,-43.3002,-65.1023,63.12,51,1,9.48
279,Bengkulu,ID,2021-12-22 01:41:09,-3.8004,102.2655,81.54,70,7,4.27
280,Dois Riachos,BR,2021-12-22 01:45:53,-9.3925,-37.1006,79.7,66,100,7.34
281,Daoukro,CI,2021-12-22 01:45:53,7.0591,-3.9631,68.47,42,3,0.54
282,Guanica,PR,2021-12-22 01:45:53,17.9716,-66.908,77.92,83,10,5.7
283,Banda Aceh,ID,2021-12-22 01:45:54,5.5577,95.3222,79.47,75,28,6.2
284,Maningrida,AU,2021-12-22 01:45:54,-12.0667,134.2667,91.78,51,98,9.04
285,Sao Filipe,CV,2021-12-22 01:45:54,14.8961,-24.4956,74.34,73,95,9.35
286,Businga,CD,2021-12-22 01:45:55,3.3333,20.8833,75.29,53,93,1.95
287,Taksimo,RU,2021-12-22 01:45:55,56.3444,114.8794,-23.87,96,99,1.52
288,Caravelas,BR,2021-12-22 01:45:55,-17.7125,-39.2481,73.27,94,29,4.65
289,Hit,IQ,2021-12-22 01:45:55,33.6416,42.8251,49.82,70,0,7.38
290,Chokurdakh,RU,2021-12-22 01:45:56,70.6333,147.9167,-9.96,97,100,9.22
291,Oistins,BB,2021-12-22 01:45:56,13.0667,-59.5333,78.89,78,40,17.27
292,Ramhormoz,IR,2021-12-22 01:45:56,31.28,49.6035,54.25,60,100,7.31
293,Qobustan,AZ,2021-12-22 01:45:57,40.0824,49.412,42.91,89,100,15.66
